FID,Region,Country,Plant,NumReactor,Latitude,Longitude,p90_1200,p00_1200,p10_1200,p90u_1200,p00u_1200,p10u_1200,p90r_1200,p00r_1200,p10r_1200,p90_30,p00_30,p10_30,p90u_30,p00u_30,p10u_30,p90r_30,p00r_30,p10r_30,p90_75,p00_75,p10_75,p90u_75,p00u_75,p10u_75,p90r_75,p00r_75,p10r_75,p90_150,p00_150,p10_150,p90u_150,p00u_150,p10u_150,p90r_150,p00r_150,p10r_150,p90_600,p00_600,p10_600,p90u_600,p00u_600,p10u_600,p90r_600,p00r_600,p10r_600,p90_300,p00_300,p10_300,p90u_300,p00u_300,p10u_300,p90r_300,p00r_300,p10r_300
24,America - Northern,UNITED STATES OF AMERICA,BRAIDWOOD,2,41.2436,-88.2289,156651000,170891000,188557000,124178000,135571000,149661000,32473400,35319500,38896200,101823,101482,112031,79410.7,79125.5,87351.4,22412.3,22356.5,24679.9,3299010,3543800,3919030,3163870,3405630,3766650,135142,138166,152382,10085400,11227800,12410000,9496800,10627400,11748900,588629,600390,661116,57913900,61797100,68213000,47177500,50508600,55782900,10736400,11288500,12430100,20784400,22610900,24967600,17889200,19608900,21660700,2895240,3002020,3306880
25,Europe - Western,FRANCE,BRENNILIS,1,48.3533,-3.872203,274871000,284927000,299708000,206144000,213817000,224849000,68727000,71109900,74859100,148635,152257,161339,55143.8,56509.5,59887.4,93491.4,95747.9,101452,1146210,1175480,1246090,636844,653126,692469,509370,522352,553617,2130600,2211730,2344540,1148960,1189910,1261470,981641,1021820,1083070,83738500,86028300,91380600,66585100,68341400,72559300,17153400,17686900,18821300,8529040,8949220,9461630,5166920,5414680,5720890,3362120,3534540,3740740
26,Europe - Western,GERMANY,BROKDORF (KBR),1,53.850833,9.344722,369599000,378067000,387651000,254945000,261354000,269018000,114654000,116713000,118633000,322320,339284,338500,157524,165673,164901,164797,173611,173599,3948220,4158950,4169960,3252740,3425690,3431860,695482,733259,738109,8530940,8969750,9056980,6177600,6497220,6576600,2353340,2472540,2480390,125921000,129343000,131297000,90084400,92642500,94204400,35836600,36700400,37092400,32487300,33718500,34025400,23066200,24053500,24280300,9421110,9665010,9745170
27,America - Northern,UNITED STATES OF AMERICA,BROWNS FERRY,3,34.7042,-87.1186,152506000,170975000,188677000,122666000,138064000,152423000,29839800,32911200,36253900,144627,155692,171690,93854.9,101197,111641,50771.9,54494.7,60049.4,792341,861088,949678,515665,559092,616767,276677,301996,332911,2667550,2955500,3260990,1744490,1924140,2123990,923059,1031360,1137000,40519200,45784000,50512800,29805400,33702400,37202700,10713900,12081500,13310100,12084100,14093000,15558300,8969450,10541500,11642700,3114620,3551510,3915640
28,America - Northern,CANADA,BRUCE,8,44.326136,-81.594719,160596000,172787000,190694000,132417000,142497000,157337000,28178800,30290000,33357000,28509.5,30957.8,33890.8,22325.3,24242.6,26539.3,6184.17,6715.25,7351.45,146571,160081,175530,92013.6,100406,110069,54557.6,59674.9,65461,1288160,1423860,1567070,1027800,1136780,1251400,260361,287083,315664,53589200,57428500,63366900,44611600,48067900,53064200,8977570,9360590,10302600,16485400,18151800,20044100,14593400,16091000,17775400,1892020,2060700,2268680
29,Europe - Western,GERMANY,BRUNSBUETTEL,1,53.891667,9.201667,367429000,375938000,385631000,253558000,259977000,267706000,113871000,115961000,117925000,210615,221908,222491,49238.3,51833.5,51814.5,161377,170075,170676,3357230,3536670,3551050,2690150,2833210,2842090,667080,703459,708956,8394130,8835380,8923930,6118890,6440600,6520650,2275240,2394780,2403280,124875000,128259000,130246000,89506200,92043900,93629100,35368500,36214800,36617100,31249000,32526700,32841200,22023600,23044400,23275600,9225400,9482240,9565600
30,America - Northern,UNITED STATES OF AMERICA,BRUNSWICK,2,33.9583,-78.0106,146981000,161686000,178448000,122605000,134938000,148980000,24376300,26748100,29467900,81207.6,100369,110756,76237.8,94052.2,103807,4969.85,6316.65,6948.71,276982,340443,375581,229727,281387,310588,47255.1,59056.7,64992.4,1154930,1402570,1546400,806807,979027,1079860,348125,423541,466548,27940800,33025700,36437600,21622400,25598400,28252500,6318470,7427290,8185130,6584180,7918540,8737920,4888100,5879030,6489360,1696080,2039510,2248560
31,Europe - Western,FRANCE,BUGEY,5,45.7956,5.27,393058000,406940000,426281000,276609000,286512000,300445000,116449000,120427000,125836000,633423,670040,710411,524753,552408,585698,108669,117633,124713,3298120,3462240,3670190,2563810,2683310,2844570,734310,778931,825625,7551130,7928470,8408140,5403090,5673160,6017240,2148050,2255310,2390900,134095000,139127000,145588000,97084700,100662000,105484000,37010500,38464600,40103300,28688000,29784700,31495500,20028900,20827800,22022800,8659090,8956880,9472660
32,Asia - Middle East and South,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR,1,28.828851,50.892757,89927200,111861000,133720000,54554400,67769600,81607500,35372800,44091600,52112200,156625,186951,210345,131823,157185,176971,24801.4,29765.8,33374.1,376669,451661,506779,208269,248983,279866,168401,202678,226912,968609,1161280,1301970,333911,400065,449141,634698,761213,852833,24677000,31353400,37944200,14225300,18163000,22587100,10451800,13190400,15357100,8157970,9888910,11819200,5243900,6369110,7772190,2914070,3519810,4047000
33,America - Northern,UNITED STATES OF AMERICA,BYRON,2,42.075,-89.2819,136157000,148092000,163395000,106185000,115647000,127664000,29971900,32445400,35731600,201326,202842,223299,165122,166538,183362,36204.1,36304,39937.5,897137,899351,990627,678348,680508,749632,218789,218843,240996,10420700,11608700,12830900,9733810,10917300,12069100,686903,691352,761784,53400300,57095100,63023300,43624100,46827900,51718600,9776160,10267200,11304800,18058800,19644600,21694900,15528600,17042000,18827800,2530160,2602650,2867120
34,America - Northern,UNITED STATES OF AMERICA,CALLAWAY,1,38.7583,-91.7817,135052000,150663000,166252000,106400000,119136000,131531000,28651500,31526600,34720500,35076.9,37361.3,41057.5,17741.3,18889.2,20755.7,17335.6,18472.1,20301.9,397857,425214,467861,244767,262275,288728,153090,162939,179133,3093010,3278930,3620610,2560220,2714590,2999910,532793,564343,620696,41371600,44919800,49581100,32689600,35640900,39362500,8681990,9278930,10218600,8619970,9070210,9999700,6543130,6883010,7594520,2076830,2187200,2405170
35,America - Northern,UNITED STATES OF AMERICA,CALVERT CLIFFS,2,38.4347,-76.4419,157471000,171206000,188950000,131048000,142466000,157295000,26423300,28740300,31655400,124278,139015,153358,70627.7,79002.8,87153.9,53650.4,60012.3,66204.1,2133680,2338240,2581100,1900970,2074340,2290100,232707,263899,291005,8924550,9690540,10699700,7974630,8641390,9542050,949917,1049150,1157650,74820200,79431900,87658200,63417000,67242200,74232200,11403300,12189800,13426000,24120600,25922000,28615500,20767100,22335300,24661600,3353520,3586690,3953860
36,Europe - Western,ITALY,CAORSO,1,45.07206,9.87214,412223000,424733000,439721000,277546000,286285000,297438000,134678000,138447000,142283000,508301,508919,535157,261685,261939,275461,246616,246980,259696,5833920,5838310,6139940,4486380,4488850,4720960,1347540,1349460,1418980,17165400,17211600,18105500,12766300,12793600,13455400,4399190,4418010,4650160,113027000,116611000,120843000,76455900,78965300,81968100,36570900,37645700,38874800,37410700,38015100,39997700,26947900,27350900,28783300,10462800,10664200,11214400
37,America - Northern,UNITED STATES OF AMERICA,CATAWBA,2,35.0514,-81.0694,170063000,186731000,206094000,141618000,155696000,171909000,28444600,31035200,34185000,523864,635459,701829,468282,569099,628620,55582.6,66360,73209.2,1591670,1929690,2131130,1222480,1485490,1640910,369185,444198,490226,4757730,5652980,6238590,3497150,4152110,4582780,1260580,1500880,1655810,45735600,52365800,57778500,34926600,40019000,44170700,10809000,12346800,13607800,13063800,15473800,17067500,9069070,10750100,11860100,3994690,4723700,5207360
38,Europe - Western,FRANCE,CATTENOM,4,49.4136,6.21639,384904000,394524000,408070000,270758000,278056000,288472000,114146000,116468000,119598000,688205,742025,799576,568239,615507,665835,119966,126518,133742,2914410,3070970,3222550,2066460,2181810,2289870,847946,889161,932678,9257130,9657560,9986510,5544610,5784610,6003130,3712520,3872950,3983380,189140000,195124000,201473000,140386000,144724000,149591000,48754100,50399900,51881700,74983600,78173500,80408000,57682800,60037900,61806000,17300800,18135600,18601900
39,Asia - Far East,CHINA,CEFR,1,39.740929,116.030139,701332000,777851000,829594000,393377000,436918000,465857000,307954000,340932000,363737000,2514590,2885990,3083200,1926640,2215250,2366680,587952,670739,716516,13545100,15749800,16823200,9436540,10949700,11696300,4108540,4800130,5126910,33719500,38515900,41141500,20802600,23713300,25331200,12916900,14802600,15810400,248837000,275373000,294152000,142897000,157739000,168505000,105940000,117634000,125647000,81160100,91306200,97528200,47571700,53381900,57023100,33588400,37924300,40505100
40,Europe - Central and Eastern,ROMANIA,CERNAVODA,2,44.322169,28.058041,281888000,287239000,290254000,160763000,165009000,167608000,121124000,122230000,122646000,144504,141577,135785,60209.6,59046.5,56633.5,84294.2,82530.8,79151.4,1217390,1185700,1134140,735066,720207,689728,482324,465497,444415,4604160,4340090,4119280,2592260,2454740,2330890,2011890,1885360,1788380,77292000,79217200,78899400,41876500,43731000,44089100,35415600,35486100,34810300,17659600,16522800,15645700,10112500,9422090,8944770,7547140,7100700,6700960
41,Asia - Far East,CHINA,CHANG JIANG,2,19.423056,108.8125,454295000,518955000,563129000,187676000,217648000,234607000,266619000,301307000,328522000,155257,176788,188791,8712.01,10009,10688.4,146545,166779,178102,915267,1060310,1132300,204199,234217,250117,711068,826092,882185,3515430,4106060,4385090,1421180,1659750,1772520,2094250,2446320,2612570,101701000,121972000,133551000,33144300,40227000,43600300,68556200,81745000,89950900,19836800,23572300,25621500,8505920,10204100,11011300,11330900,13368100,14610300
42,Europe - Western,UNITED KINGDOM,CHAPELCROSS,4,55.01566,-3.22605,219037000,226796000,235499000,165341000,171293000,177966000,53695500,55503000,57532700,172150,178514,187362,108778,113155,118767,63372.1,65359.4,68594.6,528023,547292,574248,208583,216118,226757,319440,331174,347491,7757030,8021100,8426280,6833340,7062820,7420460,923691,958277,1005820,63620300,65678700,69605900,53383400,55077200,58239500,10236900,10601500,11366500,28590600,29891600,31664700,24806700,25944000,27476600,3783920,3947640,4188060
43,Asia - Middle East and South,PAKISTAN,CHASNUPP,4,32.390929,71.463095,424183000,546171000,651723000,131066000,169058000,200907000,293117000,377114000,450816000,427963,548451,680970,111273,142600,177055,316691,405851,503914,2299060,2968260,3686880,338474,435458,540895,1960580,2532800,3145990,11292800,14458900,18002800,2133550,2719670,3383440,9159230,11739200,14619300,148151000,194747000,240440000,38735500,50597500,62286900,109415000,144150000,178153000,70198600,89264100,111771000,21823700,27781300,34699400,48374900,61482800,77071200
44,Europe - Central and Eastern,UKRAINE,CHERNOBYL,4,51.389553,30.099147,287778000,283710000,276220000,174117000,171903000,167797000,113661000,111807000,108422000,29149.3,27202.8,25267.4,12.5737,11.6158,10.7672,29136.7,27191.2,25256.6,296737,277725,258095,8244.65,7842.5,7312.44,288492,269883,250782,6288740,6073020,5670440,4545180,4424980,4130950,1743560,1648040,1539490,74789300,71484900,67083200,39204800,37555500,35261800,35584500,33929400,31821500,16960500,16238500,15175300,8209150,7937870,7425490,8751360,8300610,7749840
45,Asia - Far East,"TAIWAN, CHINA",CHIN SHAN,2,25.286254,121.587677,517341000,593088000,637718000,302987000,348317000,374429000,214354000,244771000,263288000,3850630,4263870,4638170,3824780,4235260,4607040,25841.6,28614.9,31126.8,7838760,9017330,9802370,6801410,7770950,8448470,1037350,1246380,1353900,9933150,11613500,12624300,8475330,9848780,10707500,1457820,1764680,1916840,102605000,119006000,127518000,67892000,78861300,84595000,34713500,40144800,42922600,29644200,34080400,36758700,23587100,27024000,29176500,6057090,7056470,7582200
46,Europe - Western,FRANCE,CHINON,7,47.230649,0.169521,325360000,335420000,352036000,238724000,246309000,258570000,86636000,89110600,93465700,157520,164919,174841,54460.8,56939.4,60363.8,103059,107979,114477,1486950,1555800,1649300,865547,906496,960978,621402,649303,688324,4988830,5238780,5553450,2679770,2822810,2992420,2309050,2415970,2561030,106765000,110151000,116448000,80792100,83251100,88004400,25972900,26900400,28443300,27084100,28029400,29709700,19698700,20377500,21599600,7385440,7651910,8110090
47,Europe - Western,FRANCE,CHOOZ,3,50.09,4.78944,366235000,376041000,389568000,260404000,267759000,278073000,105831000,108282000,111494000,187424,190349,200088,13947.2,14092.2,14839.7,173476,176257,185248,2397450,2443070,2566310,1508990,1536060,1611550,888452,907009,954764,16697400,17158300,18000300,13420500,13786100,14460000,3276920,3372200,3540270,186405000,193436000,199966000,140936000,146211000,151311000,45468300,47225000,48655200,72891400,75810400,78417200,59374600,61722400,63840100,13516800,14088000,14577100
48,Europe - Western,FRANCE,CIVAUX,2,46.456031,0.654284,341770000,353842000,372856000,249744000,258458000,272164000,92026200,95384400,100692000,181132,191510,202972,111980,118431,125520,69152,73078.6,77452.6,712129,736610,780750,264749,276801,293377,447380,459808,487373,4148650,4271780,4528170,2148650,2216980,2350140,1999990,2054800,2178030,105244000,108529000,115379000,80401600,82809900,88080000,24841900,25719500,27299100,22042800,22778400,24146300,14977000,15479200,16409900,7065830,7299140,7736420
49,America - Northern,UNITED STATES OF AMERICA,CLINTON,1,40.1719,-88.8342,153450000,168495000,185910000,120743000,132776000,146572000,32707100,35719100,39338400,48945.6,48944.7,53830.3,23005.7,23040.7,25338.6,25939.9,25904.1,28491.7,655508,654389,719394,487461,486970,535369,168047,167419,184025,2191630,2199670,2417970,1590260,1596640,1755460,601371,603029,662513,55715900,59788100,65988400,44489100,47886000,52880100,11226800,11902200,13108300,19676200,21361900,23586100,16993300,18587800,20532700,2682880,2774120,3053420
50,Europe - Western,SPAIN,COFRENTES,1,39.2167,-1.05,184416000,197936000,217050000,121515000,129443000,141551000,62900900,68492600,75499100,34698.7,35950.1,40488.5,864.423,891.217,1003.88,33834.3,35058.8,39484.6,2158270,2247850,2533050,1694900,1753460,1976080,463368,494398,556962,4820430,5143500,5795290,3466180,3690930,4158890,1354250,1452570,1636400,56486900,60910700,68808100,36876200,39763900,44946400,19610600,21146700,23861700,13817900,14740200,16607600,9989790,10701100,12057600,3828150,4039110,4550000
51,America - Northern,UNITED STATES OF AMERICA,COLUMBIA,1,46.471111,-119.333889,30059700,37177300,41011300,26890300,33398500,36852700,3169400,3778770,4158590,80304.9,90534.1,99765.8,73293.2,82629.9,91055.8,7011.72,7904.19,8710.06,296249,335851,369842,260050,295062,324921,36199.2,40789.1,44920.5,693521,786639,865691,584248,662569,729250,109273,124070,136441,11979300,14682700,16205700,10558100,12968000,14318200,1421280,1714710,1887460,6085660,7455210,8231360,5471810,6728520,7431560,613851,726690,799798
52,America - Northern,UNITED STATES OF AMERICA,COMANCHE PEAK,2,32.2978,-97.785,74679700,84245200,93067100,56249300,64178300,70943100,18430400,20066900,22124000,42695.5,53174.8,58744.4,24430.3,30430,33621.7,18265.2,22744.8,25122.7,944409,1176100,1298720,812707,1012020,1117820,131702,164074,180896,4858050,6069330,6702970,4462210,5578000,6161710,395834,491335,541257,23666400,28222900,31143100,19350500,23246400,25664400,4315860,4976520,5478660,8322640,10334100,11398500,6842180,8521940,9404300,1480460,1812210,1994190
